#query_sequence	candidate_DB_seqs(outliers)	candidate_DB_seqs_qualifying_percent_identity_cutoff	query_unrelated2DB	score_of_cut
OTU_97.10083	BABG01001111.245.1757;AJ270474.1.1508;AB661436.1.1494;AJ270473.1.1454;CYYR01000011.927.2431	NA	NA	0.49194609180358384
OTU_97.10084	CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;CZAD01000019.36461.37967;EU136680.1.2019;BAAU01000536.1575.3081;CYZF01000001.433278.434784;ASSO01000012.330141.331655;AB050110.1.1425;AB510711.1.1477;JN873344.1.1474;KP944146.1.1427;JQ607012.1.1416;JQ607304.1.1423;JX006272.1.1419;JQ606993.1.1417;JQ607917.1.1422;JQ607438.1.1419;JX048092.1.1415;BAKJ01000105.14.1519;AB547646.1.1488;AB021157.1.1508;JX048103.1.1420;JQ607915.1.1414;JQ606994.1.1421;AB531489.1.1488;JX048114.1.1422;JQ607949.1.1412	NA	NA	469.5744061331752
OTU_97.10089	ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;L16497.1.1468;FCNT01000097.14.1527;AY538696.1.1466;AY547271.1.1466;LARG01000025.1.1402;CZBZ01000002.727652.729157;AJ518872.1.1414;EU728719.1.1444;CP003274.119147.120561;AJWZ01008598.7.1523;FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;AY974072.1.1433;AY643083.1.1446;CAHA01000059.20.1541;AB554230.1.1487;CP003274.2181216.2182629;CAEG01000022.14.1521;CCIZ01000013.190076.191585;LG084852.1.1439;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;AY974071.1.1440;ADLD01000012.328.1844;AB600999.1.1490;AY643084.1.1446;AJ518874.1.1465;KP297842.1.1452;AB490804.1.1482;AY643082.1.1451;FKYL01000005.1805440.1806947;LT223566.1.1491;CZBH01000001.999036.1000544;AJ518876.1.1339;FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LT598563.1.1492;LARG01000024.765.2171	NA	NA	800.5487420782974
OTU_97.10091	BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000205.681.2171;LQ500116.1.1474;BAAU01000686.2038.3530;LQ500131.1.1474;LQ500117.1.1474;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;BABG01000480.1321.2811;BAAY01000303.996.2486;AJ413954.1.1462;X85022.1.1499;BABD01001073.183.1673;BAAX01000131.813.2303;BAAY01002722.335.1825;BAAX01000694.431.1921;BABA01001556.422.1912;HQ457025.1.1483;BABG01000051.2348.3838;CYGL01005916.57.1552;BAAV01000571.2640.4130;BAAY01001463.1184.2674;JN713314.1.1504;EU728783.1.1433;AY169430.1.1474;CBXK010002535.1192.2697;EU728786.1.1477;DQ057482.1.1450;FAUK01000014.218606.220097;DQ057481.1.1439;LN846908.1.1491;DQ057467.1.1475	NA	NA	748.7540131509013
OTU_97.10101	AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;ADKO01000087.185.1693;CP000139.4430477.4431986;AGXZ01000020.342567.344082;CP000139.2183533.2185042;AJ867050.1.1476;ASSN01000031.1609.3124;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867042.1.1475;AJ867044.1.1475;AJ867043.1.1457;AB050111.1.1397;KP944149.1.1433;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ607149.1.1411;CP008741.391903.393445;JQ607257.1.1414;JQ606920.1.1421;JQ607305.1.1446;ABWZ01000093.3557.5076;JQ606944.1.1418;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607114.1.1418;JQ607625.1.1415;CP008741.2636685.2638227;JQ607294.1.1425;JQ607243.1.1431;JX006258.1.1422;JQ607429.1.1424;JX006390.1.1422;JX048110.1.1435;JX048138.1.1422;JX006397.1.1422;CP009057.4969468.4971009;JX048287.1.1404;AY126616.1.1493;JQ607431.1.1420;AQHY01000028.339.1856;EU136696.1.1944	NA	NA	1332.7964685219195
OTU_97.1011	BAAV01000571.2640.4130;BAAY01001326.446.1936;BAAY01002722.335.1825;BAAU01000686.2038.3530;CYGL01005916.57.1552;BABG01001611.30.1520;BAAX01000205.681.2171;LQ500117.1.1474;BABD01001073.183.1673;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000131.813.2303;BABA01001556.422.1912;BABG01000051.2348.3838;BAAY01001463.1184.2674;LQ500116.1.1474;X85022.1.1499;BABG01000480.1321.2811;BAAY01000303.996.2486;LQ500123.51.1533;AJ413954.1.1462;LQ500131.1.1474;HQ457025.1.1483;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474	NA	NA	707.7065897917491
OTU_97.1012	BAAV01000064.898.2410;ABGD02000031.941.2453;ABGD02000032.3011.4523;ABGD02000021.1868.3380;AJ308104.1.1370;LN866995.1.1482;AJ315980.1.1393	NA	NA	46.086263809261254
OTU_97.10123	AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238928.1.1492;AB238929.1.1492;EU136685.1.2023;AGZQ01000033.8984.10498;AGZQ01000017.129.1643;FTLH01000001.1658518.1660028;AGZP01000036.3707.5225;ABYH01000014.137.1655;AB261128.1.1492;GEEG01002153.1.1395;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;CP000140.142361.143857;CP000140.4787729.4789225;M86695.1.1539;EU136681.1.1911;AB238923.1.1486	NA	NA	297.5042499830488
OTU_97.10128	LT598567.1.1494;ASTC01000037.211.1727;LT598546.1.1487;GU968170.1.1471;AWSS01000025.3977.5496;CXRW01001441.343.1854;CWHM01000069.3748.5259	NA	NA	16.888014608657613
OTU_97.10136	BAAX01000205.681.2171;BAAX01000042.422.1912;BAAU01000686.2038.3530;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;BABA01001765.248.1738;LQ500116.1.1474;BABA01001556.422.1912;LQ500131.1.1474;LQ500117.1.1474;X85022.1.1499;BABD01001073.183.1673;BAAX01000131.813.2303;BAAY01002722.335.1825;BAAX01000694.431.1921;AJ413954.1.1462;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;CYGL01005916.57.1552;HQ457025.1.1483;BAAV01000571.2640.4130;BAAY01001463.1184.2674;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;CBXK010002535.1192.2697;EU728786.1.1477;FAUK01000014.218606.220097;LN846908.1.1491;DQ057482.1.1450;DQ057467.1.1475;DQ057481.1.1439	NA	NA	706.0010239750682
OTU_97.10146	CYGL01005916.57.1552;BAAV01000571.2640.4130;BABG01000051.2348.3838;BAAY01001326.446.1936;BAAY01001463.1184.2674;BABD01001073.183.1673;BAAX01000694.431.1921;LQ500116.1.1474;BABG01001611.30.1520;BAAY01002722.335.1825;BAAU01000686.2038.3530;BAAX01000205.681.2171;LQ500117.1.1474;BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000131.813.2303;LQ500123.51.1533;BABG01000480.1321.2811;BABA01001556.422.1912;LQ500131.1.1474;X85022.1.1499;AJ413954.1.1462;BAAY01000303.996.2486;HQ457025.1.1483;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;EU728786.1.1477;DQ057482.1.1450;DQ057481.1.1439	NA	NA	756.0862220592508
OTU_97.1016	NA	None	NA	NA
OTU_97.10178	NA	None	NA	NA
OTU_97.1018	FJ625861.27324.28847;LF623612.1.1491;HW313948.1.1491;LT558848.1.1494;LT598546.1.1487;FJ625862.7160.8682;BAAZ01001521.295.1804;BAGW01000037.287.1796;LF623579.1.1491;HW798588.1.1491;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;AB702937.1.1496;ASTC01000037.211.1727;AB238598.1.1453;LF623590.4.1475;HW798623.1.1493;HW798599.4.1475;HW313926.4.1475;HW313920.1.1483;LT598592.1.1493;HW798611.1.1495	NA	NA	522.2695472264568
OTU_97.10199	LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;AB238598.1.1453;AB702937.1.1496;ASTC01000037.211.1727;LT598592.1.1493;HW798623.1.1493;HW313920.1.1483;LF623590.4.1475;HW798599.4.1475;HW313926.4.1475;HW798611.1.1495	NA	NA	237.28524595015188
OTU_97.10222	ASTC01000037.211.1727;AB702937.1.1496;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518;LF623612.1.1491;HW313920.1.1483;HW313948.1.1491;HW798623.1.1493;LF623590.4.1475;HW798611.1.1495;HW798599.4.1475;HW313926.4.1475;HW798619.1.1493;LF623579.1.1491;HW798588.1.1491;LT598592.1.1493;FJ625861.27324.28847;FJ625862.7160.8682	NA	NA	398.42955723013074
OTU_97.10226	ASTC01000037.211.1727;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518;AB702937.1.1496	NA	NA	147.18839006526468
OTU_97.1024	ASTC01000037.211.1727;AB702937.1.1496;LF623612.1.1491;HW313948.1.1491;HW313920.1.1483;HW798623.1.1493;LF623590.4.1475;HW798611.1.1495;HW798599.4.1475;HW313926.4.1475;FJ625862.7160.8682;BAGW01000037.287.1796;FJ625861.27324.28847;HW798619.1.1493;LF623579.1.1491;HW798588.1.1491;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;HZ486081.9.1518	NA	NA	416.39902358795007
OTU_97.10263	FP929050.3523936.3525456;AJ312385.1.1482;AB661435.1.1494;AJ270480.1.1508;AJ270479.1.1487;AJ270478.1.1488;AJ312386.1.1485;HM007565.1.1329;CVRR01000056.45.1566;CYXV01000011.416.1929;LG086232.1.1497;HZ486325.1.1497;AY804150.1.1497;AY804149.1.1497;CP003040.3095887.3097421;CYZJ01000002.353627.355138;AB661434.1.1493;CP003040.25465.26999;CP003040.1035384.1036918;CP003040.625894.627428;AY305310.1.1456;HZ486327.1.1480;AJ270482.1.1485;MJHW01000015.411.1953;MJHW01000006.25639.27181;MJHW01000007.2914.4456;FM954976.1.1379;MJHW01000011.2914.4456;MJHW01000008.255583.257125;MJHW01000010.137401.138943;GU233441.1.1371;JX629262.1.1454	NA	NA	151.91951994577903
OTU_97.10279	AY949858.1.1511;FJ805840.1.1445;KM454168.1.1525;FNLI01000001.906.2398;FXLN01000003.3572.5070;MBSV01000087.92.1617;FXLN01000003.742202.743700;KT935669.1.1461;LARI01000033.555.2050;LAQZ01000049.1994.3490;CP020705.2051671.2053189;CP020705.653886.655404;FJVJ01000015.3438.4940;AB491207.1.1467;CP002400.2304237.2305728;CP002400.451603.453094;CP002400.2984437.2985928;AY833426.1.1499;AY833421.1.1499;AY675965.1.1497;AY434718.1.1496;AY363375.1.1500;AY332392.1.1504;AY295777.1.1499;AY339127.1.1511	NA	NA	248.414747230192
OTU_97.10285	AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;ADKO01000087.185.1693;CP000139.4430477.4431986;CP000139.2183533.2185042;AGXZ01000020.342567.344082;AJ867050.1.1476;ASSN01000031.1609.3124;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867042.1.1475;AJ867044.1.1475;AB050111.1.1397;AJ867043.1.1457;KP944149.1.1433;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ607149.1.1411;JQ607257.1.1414;JQ606920.1.1421;JQ607305.1.1446;JQ606944.1.1418;JQ607294.1.1425;JQ607114.1.1418;JQ607625.1.1415;JQ607243.1.1431;CP008741.391903.393445;JX006258.1.1422;ABWZ01000093.3557.5076;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607429.1.1424;CP008741.2636685.2638227;JX006390.1.1422;JX048110.1.1435;JX048138.1.1422;JX006397.1.1422;CP009057.4969468.4971009;JX048287.1.1404;JQ607431.1.1420	NA	NA	1323.9979151418502
OTU_97.10289	FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;AY974072.1.1433;AJWZ01008598.7.1523;CP003274.119147.120561;LARG01000025.1.1402;EU728719.1.1444;AY643083.1.1446;CZBZ01000002.727652.729157;AB554230.1.1487;AY538696.1.1466;AY547271.1.1466;FCNT01000097.14.1527;AJ518872.1.1414;CP003274.2181216.2182629;AJ518874.1.1465;CAEG01000022.14.1521;AY643084.1.1446;FKYL01000005.1805440.1806947;LT223566.1.1491;ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;CCIZ01000013.190076.191585;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;CAHA01000059.20.1541;L16497.1.1468;LG084852.1.1439;AY974071.1.1440;KP297842.1.1452;AY643082.1.1451;ADLD01000012.328.1844;CZBH01000001.999036.1000544;AB600999.1.1490;FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LT598563.1.1492;AB490804.1.1482;LARG01000024.765.2171	NA	NA	967.779259940482
OTU_97.1029	ASTC01000037.211.1727;AB702937.1.1496;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;LF652028.9.1518;LG104800.9.1518;EU728724.1.1426;LF134422.9.1518;HZ486081.9.1518;HW798611.1.1495;HW313920.1.1483;LF623590.4.1475;HW798623.1.1493;HW798599.4.1475;HW313926.4.1475;AB238598.1.1453;HW798619.1.1493;AB040498.1.1451;AB040497.1.1450;LF623612.1.1491;HW313948.1.1491;FJ625862.7160.8682	NA	NA	398.0274953259777
OTU_97.10311	JN713426.1.1485;CP001850.465385.466901;CP001850.255538.257054;AB910750.1.1485;AY949857.1.1510	NA	NA	12.962415898447944
OTU_97.10322	CVRR01000056.45.1566;CYXV01000011.416.1929;LG086232.1.1497;MJID01000039.570.2111;JX629259.1.1464;MJID01000001.1580.3121;CYZJ01000002.353627.355138;EU728761.1.1478;AB661434.1.1493;CP003040.3095887.3097421;CP003040.25465.26999;CP003040.1035384.1036918;CP003040.625894.627428;HZ486327.1.1480;AJ270482.1.1485	NA	NA	70.43224151100458
OTU_97.10348	LARF01000079.1.1498;LARF01000076.2386.3883;FMUV01000065.209.1620;EU728796.1.1488;EU266549.1.1452;DQ057453.1.1460;AB239487.1.1487	NA	NA	47.01384637451065
OTU_97.10349	HW066511.1.1490;AB215082.1.1485;BABD01000482.1904.3411	NA	NA	12.308052513568327
OTU_97.1035	AGYJ01000003.3560.5081;BAHU02000044.30.1543;AGYH01000014.28348.29869;AGYH01000002.22164.23685;ABQR01000074.101.1610;ADLI01000057.190.1709;AGYH01000014.179835.181354;AGYI01000024.30671.32190;AGYN01000032.129627.131146;AGYI01000033.489239.490760;LT799004.1.1494;AJ508452.1.1498;AGYN01000029.1538.3057;AGYN01000030.223142.224661;LG085221.10.1521;HZ485314.10.1521;AGYR01000051.190.1709;CP015399.3646225.3647767;ACCJ01000522.48.1565;BAIC02000310.62.1571;ADLL01000101.290.1809;AGYS01000047.96656.98175;AGYL01000062.30.1549;AGYS01000010.342878.344397;AGYP01000019.668.2187;AGYO01000053.22976.24495;AGYO01000012.252945.254464;ADLK01000048.472.1991;AGYQ01000046.22106.23625;AGYM01000061.547.2066;AGYS01000013.1264.2783;AGYR01000091.6527.8046;AGYM01000093.6884.8395;AGYM01000049.26155.27674;AGYM01000039.482.2001;JYHN01000039.122501.124020;CZAB01000004.3636.5162;FBWO01000165.23.1542;CP015399.4757278.4758820;CP015399.3415150.3416692;LG085216.3.1512;CP015399.1569951.1571493;CP015399.4748579.4750121;HZ485309.3.1512;LC036310.1.1493;Y10028.1.1487;LF651212.7.1475;HZ485325.10.1478;LF135638.7.1475;M59089.1.1476;EF564278.1.1452;LT576406.1.1493;EF564277.1.1454;AJ582080.1.1468;JQ607170.1.1413;KX024579.1.1415;KP944172.1.1433;JQ607618.1.1421;JQ607719.1.1421;JQ607167.1.1429;JQ607142.1.1419;JX006510.1.1418;DQ279737.1.1420;JQ607063.1.1409;JQ607889.1.1420;JQ607655.1.1401;JQ607674.1.1411;JQ606955.1.1418;JQ607133.1.1402;JQ606856.1.1425;JQ607423.1.1432;JX006262.1.1421;JX006319.1.1411;JQ606956.1.1417;JQ607363.1.1418;JQ607414.1.1420;JQ607612.1.1424;JX006718.1.1406;JQ607411.1.1430	NA	NA	490.3524482650155
OTU_97.10355	CP012801.2258604.2260119;CP012801.1646789.1648308;ACCH01000108.3638.5148;AB510698.1.1473;LTDF01000031.344.1854;LT223636.1.1486;ABJL02000008.3336138.3337648;ABJL02000006.58.1568;ABJL02000008.1460783.1462293;ABJL02000007.1225076.1226586;AB214329.1.1484;AB214328.1.1484;EU136691.1.1995;BABG01002699.21.1524;AJ583247.1.1437;BAKL01000173.25.1526	NA	NA	163.68076358181042
OTU_97.1037	CP002028.2192663.2194189;CP002028.244309.245835;CP002028.82421.83947;JF820825.1.1495;FJ465164.1.1505;JQ599692.1.1483;KJ522755.1.1496;L09177.1.1500;JQ599653.1.1483	NA	NA	4.004496772309722
OTU_97.10385	ADKO01000087.185.1693;AGXZ01000020.342567.344082;AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.4743140.4744649;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;CP000139.4430477.4431986;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;ASSN01000031.1609.3124;CP000139.2183533.2185042;AJ867050.1.1476;CS600343.12.1518;M58762.1.1533;AJ867044.1.1475;AJ867042.1.1475;AJ867043.1.1457;AB050111.1.1397;KP944149.1.1433;JQ607246.1.1418;JQ607451.1.1421;JQ607257.1.1414;JQ607271.1.1416;JQ607149.1.1411;CP008741.391903.393445;JQ606944.1.1418;JQ606920.1.1421;ABWZ01000093.3557.5076;JQ607305.1.1446;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607114.1.1418;JQ607625.1.1415;CP008741.2636685.2638227;JQ607294.1.1425;JQ607243.1.1431;JX006258.1.1422;JQ607429.1.1424;JX006390.1.1422;JX048138.1.1422;JX048110.1.1435;JX006397.1.1422;CP009057.4969468.4971009	NA	NA	1408.8804676548916
OTU_97.1041	AGYH01000002.22164.23685;AGYJ01000003.3560.5081;BAHU02000044.30.1543;AGYH01000014.28348.29869;AGYI01000033.489239.490760;AJ508452.1.1498;AGYH01000014.179835.181354;AGYN01000032.129627.131146;AGYN01000029.1538.3057;AGYN01000030.223142.224661;ADLI01000057.190.1709;AGYI01000024.30671.32190;ADLL01000101.290.1809;AGYS01000047.96656.98175;AGYL01000062.30.1549;AGYS01000010.342878.344397;AGYP01000019.668.2187;AGYO01000053.22976.24495;AGYO01000012.252945.254464;AGYQ01000046.22106.23625;AGYM01000061.547.2066;AGYS01000013.1264.2783;AGYR01000091.6527.8046;AGYM01000093.6884.8395;AGYM01000049.26155.27674;AGYM01000039.482.2001;CZAB01000004.3636.5162;FBWO01000165.23.1542;LC036310.1.1493;LG085221.10.1521;HZ485314.10.1521;CP015399.3646225.3647767;AGYR01000051.190.1709;CP015399.4757278.4758820;CP015399.1569951.1571493;CP015399.4748579.4750121;M59089.1.1476	NA	NA	219.97160810936657
OTU_97.10416	HF545616.962351.963857;HF545616.1595630.1597136;HF545617.337862.339368;HF545616.164905.166411;FNLI01000001.906.2398;FWCH01000011.36791.38284;LT558850.1.1477	NA	NA	13.650679717371531
OTU_97.10417	EU728757.1.1485;AJWZ01002193.94.1618;AB244773.1.1493;AB244771.1.1493;AB244770.1.1491;ACBX02000014.1230.2749;AB649279.1.1493;AB244772.1.1493;AB064923.1.1494;ACBX02000017.22857.24376;EU728712.1.1486;ACBX02000025.1.1217;CBXK010002068.363.1874;EU728740.1.1484;LT722678.1.1454;EU728752.1.1491;EU728732.1.1487	NA	NA	356.3898916218459
