#db_sequence	partition_number
CYZO01000012.74868.76378	4
KR364747.1.1521	4
JYHN01000039.122501.124020	1
AB601066.1.1493	1
AAXA02000006.102304.103822	4
CZAX01000013.119867.121377	4
JQ607363.1.1418	1
LG086263.2.1508	7
AGYN01000032.129627.131146	1
FP929055.159.1677	4
JQ607142.1.1419	1
ABVR01000038.1362.2880	4
CZAC01000092.963.2475	4
HZ485314.10.1521	1
JQ606955.1.1418	1
CP001104.15561.17079	5
CVRR01000056.45.1566	2
AJ270482.1.1485	2
CYZJ01000002.353627.355138	2
FR749921.1.1525	4
LF651014.1.1493	4
AGYN01000029.1538.3057	1
DQ479411.1.1496	3
CP001104.2029863.2031381	5
CP006776.327975.329522	10
JQ607588.1.1429	10
JQ607713.1.1421	10
CP006805.1987688.1989240	10
DQ272510.1.1553	10
JVPZ01000003.136016.137544	10
AF003932.1.1460	11
AY923121.1.1558	11
AEVE01000073.3352.4887	10
AF432131.1.1524	11
JYPA01000006.259.1805	11
ADMV01000001.3349.4885	11
AGZY01000007.257934.259469	10
AF003933.1.1513	10
JYGT01000003.3345.4889	11
AF432137.1.1523	11
CP002843.4661.6196	11
AFUC01000011.91400.92928	10
AY485605.1.1470	10
AF432132.1.1524	11
KF733725.1.1472	10
AB006125.1.1294	10
ASWZ01000001.1730.3277	10
AY953255.1.1548	10
AF432135.1.1524	11
AFNN01000003.3298.4831	11
JYGT01000007.452703.454247	11
KF733699.1.1479	11
CP002843.2062079.2063614	11
DQ232536.1.1469	11
JUTV01000171.196.1724	10
JVQB01001552.3534.5062	10
CP002843.1604681.1606216	11
CP006805.1536869.1538421	10
LAWB01000049.245.1773	10
HZ486487.3.1531	11
KF733692.1.1480	11
AGZY01000011.3714.5249	10
LG086394.3.1531	11
JVLU01000072.50494.52021	10
AFUC01000002.3289.4817	10
AZJD01000007.2387.3922	10
AF481230.1.1504	11
JYGU01000007.377.1922	10
DQ232537.1.1469	10
KX998201.1.1294	10
AY923128.1.1555	11
KU240441.1.1508	11
LTWX01000107.182.1736	10
AY005046.1.1469	10
JVKT01000049.199.1727	11
AGZY01000002.108788.110323	10
CP002843.1727460.1728995	11
DQ303191.1.1464	10
HZ486060.1.1500	10
JUPI01000152.3359.4886	11
AEKM01000011.91208.92739	10
MUXP01000002.388.1942	11
AFUC01000011.194.1722	10
GU045364.1.1452	10
HQ219655.1.1402	10
AB006127.1.1290	10
AFUT01000009.238395.239926	11
AY281087.1.1430	11
AY281078.1.1430	10
KP090102.1.1458	12
LJCZ01000024.384.1957	12
AF257096.1.1518	12
FN692037.1669931.1671482	12
FR683088.1.1516	12
AF257097.1.1518	12
LJGQ01000111.323.1896	12
LF134113.3.1546	12
LJOM01000159.146.1719	12
KU991819.1.1528	12
AF243152.1.1509	12
AF243174.1.1509	12
AB425941.1.1488	12
LJDA01000046.428.2001	12
AXLM01000028.119.1662	12
LG104491.3.1546	12
HQ716720.1.1496	12
AF243158.1.1510	12
AF243172.1.1509	12
LSVK01000002.12603.14146	12
EU559595.1.1562	12
LF651719.3.1546	12
AF243141.1.1505	12
DQ317604.1.1517	12
EF120374.1.1550	12
FN692037.445456.447007	12
FN692037.62524.64075	12
AGZG01000019.12536.14087	12
AF243170.1.1508	12
AB008206.1.1556	12
LV535632.3.1546	12
FN692037.427906.429457	12
AF243167.1.1497	12
DQ316398.1.1518	12
LSVK01000003.487.2030	12
Y17362.1.1559	12
JX048564.1.1433	13
L34616.1.1485	14
JX048123.1.1424	13
JQ608058.1.1428	13
JQ608033.1.1424	13
M23732.1.1543	13
JX048399.1.1408	13
AKCD01000001.321917.323435	14
JX006317.1.1432	13
JX048545.1.1438	13
JQ608068.1.1417	13
CP015404.2933182.2934730	13
JX048169.1.1420	13
GU968167.1.1508	13
JX048112.1.1417	13
JX048199.1.1431	13
JX048454.1.1411	13
LG086605.4.1376	13
JQ608081.1.1424	13
AB018187.1.1504	14
GU811875.1.1292	13
LF133663.5.1381	13
CP015404.858184.859732	14
JX048130.1.1436	13
JX048457.1.1398	13
JQ608069.1.1436	13
JX048091.1.1424	13
JX048099.1.1421	13
AGYV01000014.29.1556	13
JX048562.1.1440	13
JQ608067.1.1437	13
HZ486698.4.1376	13
JX048221.1.1444	13
AB222700.1.1488	15
JQ607915.1.1414	16
CP012937.5517779.5519304	17
L16489.1.1475	17
AB531489.1.1488	16
LV534824.10.1516	18
CS600342.5.1468	15
LUYU01000009.3392.4896	16
JQ607686.1.1411	17
BABD01000526.1236.2742	18
AB253732.1.1458	18
CZAF01000001.556013.557519	16
AB547640.1.1475	17
BAJK01000111.3667.5173	18
AB510710.1.1461	17
JX048342.1.1227	16
JQ607917.1.1422	16
JQ607066.1.1428	17
KX025135.1.1430	15
CZAO01000004.122192.123698	16
LG103725.8.1386	16
JQ608205.1.1410	17
AB363973.1.1415	16
AE015928.4983424.4984906	17
JQ606974.1.1418	16
EU136679.1.1995	17
JQ607067.1.1417	17
ABFZ02000010.54.1555	18
JX006288.1.1424	19
AB021157.1.1508	16
HZ485132.1.1509	19
BABG01004725.10.1478	19
JQ606910.1.1424	17
JQ607949.1.1412	16
BABB01000067.5995.7501	18
X83952.1.1395	15
ADMP01000058.91.1599	19
LN907744.1.1483	17
FJ753769.1.1397	16
KP944115.1.1429	15
AE015928.2340709.2342191	17
GU968166.1.1492	15
AB510711.1.1477	16
JQ606993.1.1417	16
JQ607438.1.1419	16
HZ485100.10.1518	15
BAAU01000536.1575.3081	16
EU136680.1.2019	16
AGXU01000010.481004.482520	15
AGDG01000041.493.2001	17
ASSO01000012.330141.331655	16
AB215082.1.1485	16
KP944119.1.1432	17
M58763.1.1482	17
JNHN01000179.537048.538433	16
AB547646.1.1488	16
LC033792.1.1501	18
BAJS01000049.3577.5109	16
JQ607043.1.1414	17
AE015928.3034714.3036195	17
JQ607032.1.1412	17
CZAC01000044.999.2505	16
AY319395.1.1449	17
GQ496623.1.1463	17
EU136682.1.1435	15
LN907743.1.1476	18
HW066511.1.1490	16
BAKJ01000105.14.1519	16
X83953.1.1342	18
CYYO01000004.82756.84262	16
KP944123.1.1436	17
JN873344.1.1474	16
ABFZ02000011.1.1404	18
EU887841.1.1494	17
HZ485115.10.1518	15
KX025134.1.1442	15
AB253733.1.1458	18
JQ607093.1.1420	17
AB222699.1.1485	15
L16484.1.1468	15
JQ607127.1.1359	17
JX006297.1.1423	17
CYZB01000007.3612.5118	16
AB050108.1.1455	15
JQ607757.1.1408	19
AGXW01000010.57027.58543	15
JQ607091.1.1413	19
JQ606994.1.1421	16
GQ496624.1.1458	17
JX006625.1.1415	17
JQ607435.1.1425	16
LF135379.8.1386	16
JQ606876.1.1403	15
JQ607692.1.1411	17
LF650953.8.1386	16
JQ607986.1.1408	16
JQ607099.1.1411	17
AB547638.1.1488	18
JX048103.1.1420	16
JQ606939.1.1420	17
JQ607012.1.1416	16
AGXT01000041.79243.80759	19
KP944116.1.1434	15
JX048567.1.1424	17
LF650911.10.1516	18
FQWK01000014.251.1781	18
FNOD01000057.3565.5095	18
JX006272.1.1419	16
JQ606892.1.1428	17
ARFR01000003.2.1263	18
JQ608216.1.1420	17
JX006697.1.1410	17
JQ608316.1.1421	19
HZ485141.10.1516	18
CZAD01000019.36461.37967	16
JX048443.1.1415	16
JQ608257.1.1414	17
JQ607051.1.1422	19
KP944146.1.1427	16
AB050109.1.1426	17
JQ607128.1.1418	17
JX048503.1.1409	17
LC033799.1.1504	17
AB547643.1.1486	16
JX048114.1.1422	16
BAAU01001024.317.1823	18
JQ608100.1.1418	17
JQ608299.1.1419	17
JQ607540.1.1433	19
BABD01000482.1904.3411	16
HZ486684.1.1341	16
CVOZ01000063.228971.230480	17
JQ606972.1.1418	17
JQ606983.1.1424	17
HZ485108.9.1517	17
CZAE01000003.99809.101321	17
JX048092.1.1415	16
AY652736.1.1451	15
JQ607143.1.1401	17
JQ607946.1.1422	19
AB510713.1.1465	19
CYZF01000001.433278.434784	16
ABFZ02000022.100210.101724	18
JQ607082.1.1425	17
CELP01000805.3695.5201	16
JX048256.1.1388	17
JQ606959.1.1417	17
AB490801.1.1479	18
LF135337.10.1516	18
JQ607157.1.1414	17
CZBI01000005.3650.5158	17
LT622246.247875.249393	19
AE015928.3328965.3330446	17
JQ607034.1.1424	17
JQ607060.1.1412	17
JQ606875.1.1425	15
LV534866.8.1386	16
AGXT01000021.476267.477784	15
LF133347.8.1386	16
AB050110.1.1425	16
JQ606976.1.1418	17
JQ607304.1.1423	16
AB510708.1.1476	18
KR364742.1.1467	19
HZ485083.10.1516	18
KX025133.1.1417	15
DQ057457.1.1451	19
AGXW01000006.688.2204	15
AB510705.1.1459	15
CXSE01001446.1371.2879	17
EU136684.1.1926	18
JX006475.1.1409	15
JQ606901.1.1421	17
LT722680.1.1429	20
AB037383.1.1460	20
AB031061.1.1458	20
ABXJ01000150.1579.3071	20
AB558489.1.1466	20
HZ485413.10.1494	20
HZ485412.9.1496	20
ABXH02000033.22176.23668	20
LT598547.1.1471	20
AB558488.1.1466	20
ABXH02000037.458.1953	20
FWYK01000033.5481.6968	20
KP233278.1.1431	20
AB031063.1.1459	20
AB038359.1.1315	21
AB361624.1.1496	21
EU728726.1.1478	21
AJ270485.1.1470	21
KP944141.1.1428	22
DQ057442.1.1459	22
HM007585.1.1335	22
AB510701.1.1490	22
DQ057444.1.1460	22
JQ607750.1.1414	22
JQ608285.1.1422	22
FQ312004.4708749.4710281	22
AP006841.3144323.3145859	22
CP008741.4730397.4731935	22
KP188833.1.1378	22
AP006841.4676388.4677924	22
EU722742.1.1459	22
HZ485092.14.1522	22
CR626927.4658273.4659805	22
DQ057448.1.1455	22
CR626927.5128421.5129953	22
X83935.1.1436	22
KP944143.1.1441	22
AP006841.4527043.4528579	22
CXUA01000435.247.1755	22
FQ312004.4494006.4495538	22
CP011073.4581959.4583498	22
AGXQ01000025.88.1604	22
DJ391424.1.1491	22
KP944130.1.1431	22
DQ057475.1.1459	22
CR626927.4413866.4415398	22
AGXQ01000010.543.2059	22
CP011073.3048810.3050349	22
AGXQ01000036.155358.156874	22
CP011073.4368909.4370448	22
JX006264.1.1422	22
AF133539.1.1479	22
LC033793.1.1491	22
FQ312004.3243020.3244552	22
AGXR01000010.53918.55434	22
CR626927.4600342.4601874	22
JPHS01000172.225.1764	22
CP011073.4641052.4642591	22
FQ312004.5291501.5293033	22
AP006841.4735744.4737280	22
AP006841.5195504.5197040	22
KT006898.1.1465	22
CP011073.5118647.5120186	22
EU136678.1.2011	22
FQ312004.3903056.3904588	22
AB542764.1.1490	22
CDQP01001253.198.1702	22
CR626927.3205531.3207063	22
KP944129.1.1399	22
LIDU01000040.1773.3294	22
AB050106.1.1404	22
CR626927.3854670.3856202	22
KP944131.1.1433	22
AP006841.3947850.3949386	22
KP944125.1.1437	22
DQ057447.1.1455	22
KP944142.1.1435	22
JMZZ02000202.12.1551	22
KP944126.1.1427	22
HZ485111.10.1518	22
KP944133.1.1437	22
FQ312004.4649498.4651030	22
KP944135.1.1430	22
KP944137.1.1430	22
DQ057445.1.1465	22
JQ607793.1.1408	22
CP011073.3796953.3798492	22
BAAY01002565.3.1472	22
GU968174.1.1492	22
JGEE01000017.1.1346	22
ABVO01000045.3575.5089	23
EU136695.1.1991	23
AKBX01000002.630005.631511	23
L16485.1.1473	23
AB050107.1.1425	23
AB510700.1.1488	23
AKBX01000006.261100.262606	23
AQHY01000028.339.1856	24
JQ607243.1.1431	25
CP000139.346743.348252	25
AJ867043.1.1457	25
AB242142.1.1493	26
AB510712.1.1489	25
EU136687.1.1985	25
JN084209.1.1374	26
ASSN01000031.1609.3124	25
JQ607305.1.1446	25
JX048287.1.1404	25
JQ607114.1.1418	25
AB510703.1.1478	24
JQ607257.1.1414	25
CP008741.2118731.2120273	26
JX006390.1.1422	25
JX006397.1.1422	25
CP009057.2296841.2298384	26
EU136696.1.1944	24
CP007619.2423834.2425376	26
CP009057.4969468.4971009	26
BAAX01000183.1.1374	26
AJ867044.1.1475	25
JQ606944.1.1418	25
AY126616.1.1493	24
JQ607246.1.1418	25
CP007619.3821131.3822673	26
CP007619.663681.665223	26
M58762.1.1533	25
BABD01000854.1516.2844	26
CP007619.4541152.4542694	26
CP008741.698758.700300	26
CP000139.647842.649351	25
LG103726.1.1507	25
JQ607431.1.1420	26
CP007619.4881337.4882879	26
CP007619.4433201.4434743	26
JQ607451.1.1421	25
LG085034.1.1507	25
AB242143.1.1490	26
JX048110.1.1435	25
ABWZ01000093.3557.5076	26
AGXZ01000020.342567.344082	25
CP000139.2183533.2185042	25
JX006258.1.1422	25
CP000139.2587720.2589229	25
JQ606920.1.1421	25
HZ485137.1.1350	24
CP008741.391903.393445	26
CP000139.2095441.2096950	25
CP008741.4470567.4472116	26
JQ607294.1.1425	25
CS600343.12.1518	25
JX006402.1.1315	26
JX048138.1.1422	25
CP007619.2713921.2715463	26
AJ867050.1.1476	25
JQ607429.1.1424	25
LF135380.1.1507	25
CP008741.2205585.2207127	26
ADKO01000087.185.1693	25
HZ485127.1.1507	25
KP944149.1.1433	25
CP000139.4743140.4744649	25
AJ867042.1.1475	25
CP008741.2636685.2638227	26
CP000139.4430477.4431986	25
JQ607149.1.1411	25
JQ607625.1.1415	25
AB050111.1.1397	25
JQ607271.1.1416	25
AJWZ01002193.94.1618	27
EU728752.1.1491	27
ACBX02000025.1.1217	27
AB064923.1.1494	27
AB244772.1.1493	27
EU728740.1.1484	27
AB649279.1.1493	27
CBXK010002068.363.1874	27
LT722678.1.1454	27
AB244771.1.1493	27
AB244770.1.1491	27
ACBX02000017.22857.24376	27
AB244773.1.1493	27
ACBX02000014.1230.2749	27
EU728712.1.1486	27
EU728757.1.1485	27
JQ607568.1.1411	28
AB117561.1.1493	28
GEEG01002153.1.1395	29
AB238924.1.1486	28
CP000140.3253636.3255132	28
JNHQ01000190.1.1357	28
ACUB01000068.1.1400	28
AB238927.1.1486	28
AB238925.1.1486	28
AGZQ01000017.129.1643	29
CP000140.2872534.2874028	28
AGZP01000036.3707.5225	29
LC033797.1.1486	28
AGZQ01000033.8984.10498	29
AB238926.1.1486	28
EU136681.1.1911	28
LARL01000150.1.1396	28
JQ606916.1.1417	28
ABYH01000014.137.1655	29
JNHQ01000184.8.1440	28
FTLH01000001.1658518.1660028	29
CDRH01001199.128.1633	28
BABA01001649.892.2396	28
AB238923.1.1486	28
KP944197.1.1431	28
AB261128.1.1492	29
JQ607238.1.1426	28
AJPU01000034.127207.128725	29
AB238929.1.1492	29
JQ607108.1.1412	28
EU728708.1.1478	28
CP000140.3411907.3413403	28
JQ606931.1.1418	28
AB238928.1.1492	29
AB238922.1.1488	28
JQ607084.1.1412	28
M86695.1.1539	28
CP000140.2138973.2140467	28
KR364782.1.1484	28
CZAR01000037.27480.28953	28
AJPU01000037.18517.20035	29
CP000140.142361.143857	28
EU136685.1.2023	29
BAAZ01000703.1371.2875	28
CP000140.416000.417494	28
CP000140.4787729.4789225	28
AB200218.1.1492	30
AB200221.1.1493	30
ABQC02000019.758957.760260	30
AB200219.1.1490	30
AB200217.1.1490	30
AB861981.1.1489	31
ABIY02000097.119651.121166	32
ABIY02000114.1.1263	32
ABIY02000050.88545.90060	32
AB861983.1.1489	31
ABIY02000115.212058.213573	32
AY721625.1.1490	31
EU136688.1.1503	32
AB200224.1.1490	32
ALIF01000001.367822.369369	33
CP020438.560570.562124	33
EU373350.1.1513	33
FR873481.349447.350982	33
CP016394.685860.687395	33
KF856613.1.1490	33
HE793101.1.1491	33
JQ680316.1.1395	33
FJ154797.1.1435	33
FJ154803.1.1479	33
CP002888.1788063.1789598	33
KC545932.1.1472	33
ALIF01000001.147716.149263	33
HM058719.1.1465	33
FJ154800.1.1470	33
AY687382.1.1506	33
CP020431.1894642.1896196	33
HZ486496.7.1534	33
CP000419.359459.361001	33
AY188352.1.1546	33
AB680534.1.1414	33
CP002340.72623.74177	33
CP016877.604615.606169	33
HQ721278.1.1480	33
CP016439.1090046.1091600	33
AB530698.1.1509	33
CP006819.1838763.1840309	33
CP012588.1679919.1681473	33
CP009913.188718.190272	33
CP000024.1614468.1616015	33
CP000419.19150.20692	33
CP020438.891981.893535	33
HG423864.1.1462	33
HM058483.1.1467	33
CP002888.2007769.2009304	33
CP003499.1653729.1655264	33
CP013216.1906193.1907753	33
JJMS01000004.3355.4906	33
CP002340.17812.19366	33
CP003499.128911.130446	33
KU533907.1.1374	33
FR875178.17733.19268	33
JQ680277.1.1402	33
FJ154802.1.1470	33
CP011217.19293.20835	33
CP002340.134319.135873	33
CP016394.473559.475094	33
FR873482.125158.126693	33
FR873481.133039.134574	33
CP006819.531047.532593	33
FR875178.65514.67049	33
AEKO01000006.2733.4272	33
KC545917.1.1480	33
LC061611.1.1516	33
FR873481.138841.140376	33
FR873481.2019079.2020614	33
CP002340.1643295.1644848	33
FR875178.161406.162941	33
LTUM01000005.128.1562	33
KF928788.1.1512	33
AB680535.1.1473	33
CP002888.2075799.2077334	33
KC545903.1.1480	33
FR875178.379758.381293	33
FR873482.14961.16496	33
CP000023.17818.19365	33
AB200871.1.1509	33
CP003499.17821.19356	33
HM058655.1.1465	33
ALIF01000001.64012.65559	33
HM058764.1.1466	33
JJMT01000020.3355.4906	33
CP000023.134850.136397	33
CP000024.134877.136424	33
