#partition assignment criteria: Assign read to the parition(s) that exceeds the 0.5 proportion in the candidate (outlier) set (first_flag=False).
#read	db_seqs_in_winning_partitions	partition_num(winner)	partition_counts	candidate_db_seqs(outliers)	size_of_candidate_db_seqs_set
OTU_97.10083	CP003040.625894.627428;LN907765.1.1501;FNWC01000005.152430.153940;AJ270480.1.1508;MJHW01000006.25639.27181;FP929050.3523936.3525456;EU728761.1.1478;AJ270478.1.1488;AB661434.1.1493;HZ486327.1.1480;AJ270474.1.1508;FM954976.1.1379;EU728765.1.1490;FR733672.1.1521;MJHW01000010.137401.138943;CYYR01000011.927.2431;LG086232.1.1497;EU728794.1.1457;JX629262.1.1454;AJWY01001902.613.2139;AJ312385.1.1482;CP003040.25465.26999;CP003040.1035384.1036918;DQ382351.1.1485;HZ486325.1.1497;AY804150.1.1497;MJHW01000015.411.1953;AB661435.1.1494;CYXV01000011.416.1929;AY804149.1.1497;MJHW01000011.2914.4456;CP003040.3095887.3097421;FNWC01000007.2759670.2761180;AB661436.1.1494;BABG01001111.245.1757;AY305310.1.1456;GU233441.1.1371;L34421.1.1481;AJ312386.1.1485;AJ270473.1.1454;HM007565.1.1329;MJHW01000008.255583.257125;LT598553.1.1494;AJ270479.1.1487;MJHW01000007.2914.4456;CVRR01000056.45.1566;AJ270482.1.1485;CYZJ01000002.353627.355138	2	2:5	BABG01001111.245.1757;AJ270474.1.1508;AB661436.1.1494;AJ270473.1.1454;CYYR01000011.927.2431	5
OTU_97.10084	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16	16:31	CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;CZAD01000019.36461.37967;EU136680.1.2019;BAAU01000536.1575.3081;CYZF01000001.433278.434784;ASSO01000012.330141.331655;AB050110.1.1425;AB510711.1.1477;JN873344.1.1474;KP944146.1.1427;JQ607012.1.1416;JQ607304.1.1423;JX006272.1.1419;JQ606993.1.1417;JQ607917.1.1422;JQ607438.1.1419;JX048092.1.1415;BAKJ01000105.14.1519;AB547646.1.1488;AB021157.1.1508;JX048103.1.1420;JQ607915.1.1414;JQ606994.1.1421;AB531489.1.1488;JX048114.1.1422;JQ607949.1.1412	31
OTU_97.10089	NA	NA	58:6;56:6;55:9;57:10;95:4;43:3;147:1;113:3;148:1	ABFK02000017.223676.225190;ABFK02000016.619821.621335;AB554232.1.1488;L16497.1.1468;FCNT01000097.14.1527;AY538696.1.1466;AY547271.1.1466;LARG01000025.1.1402;CZBZ01000002.727652.729157;AJ518872.1.1414;EU728719.1.1444;CP003274.119147.120561;AJWZ01008598.7.1523;FP929032.881290.882801;HZ484947.1.1504;AB554233.1.1486;AY974072.1.1433;AY643083.1.1446;CAHA01000059.20.1541;AB554230.1.1487;CP003274.2181216.2182629;CAEG01000022.14.1521;CCIZ01000013.190076.191585;LG084852.1.1439;ARFY01000032.606843.608350;ARFY01000017.91797.93304;AB554231.1.1489;AY974071.1.1440;ADLD01000012.328.1844;AB600999.1.1490;AY643084.1.1446;AJ518874.1.1465;KP297842.1.1452;AB490804.1.1482;AY643082.1.1451;FKYL01000005.1805440.1806947;LT223566.1.1491;CZBH01000001.999036.1000544;AJ518876.1.1339;FNWB01000008.1278584.1280092;JRGF01000044.3.1537;LT598563.1.1492;LARG01000024.765.2171	43
OTU_97.10091	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3;93:1;118:1;120:1;119:1;149:1	BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000205.681.2171;LQ500116.1.1474;BAAU01000686.2038.3530;LQ500131.1.1474;LQ500117.1.1474;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;BABG01000480.1321.2811;BAAY01000303.996.2486;AJ413954.1.1462;X85022.1.1499;BABD01001073.183.1673;BAAX01000131.813.2303;BAAY01002722.335.1825;BAAX01000694.431.1921;BABA01001556.422.1912;HQ457025.1.1483;BABG01000051.2348.3838;CYGL01005916.57.1552;BAAV01000571.2640.4130;BAAY01001463.1184.2674;JN713314.1.1504;EU728783.1.1433;AY169430.1.1474;CBXK010002535.1192.2697;EU728786.1.1477;DQ057482.1.1450;FAUK01000014.218606.220097;DQ057481.1.1439;LN846908.1.1491;DQ057467.1.1475	34
OTU_97.10101	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	25	25:43;26:19;24:3	AB510712.1.1489;EU136687.1.1985;CP000139.647842.649351;CP000139.2587720.2589229;CP000139.2095441.2096950;CP000139.346743.348252;ADKO01000087.185.1693;CP000139.4430477.4431986;AGXZ01000020.342567.344082;CP000139.2183533.2185042;AJ867050.1.1476;ASSN01000031.1609.3124;LG103726.1.1507;LG085034.1.1507;LF135380.1.1507;HZ485127.1.1507;CP000139.4743140.4744649;CS600343.12.1518;M58762.1.1533;AJ867042.1.1475;AJ867044.1.1475;AJ867043.1.1457;AB050111.1.1397;KP944149.1.1433;JQ607246.1.1418;JQ607451.1.1421;JQ607271.1.1416;JQ607149.1.1411;CP008741.391903.393445;JQ607257.1.1414;JQ606920.1.1421;JQ607305.1.1446;ABWZ01000093.3557.5076;JQ606944.1.1418;CP007619.4541152.4542694;CP007619.2713921.2715463;CP009057.2296841.2298384;CP008741.698758.700300;CP008741.4470567.4472116;CP007619.4881337.4882879;CP007619.3821131.3822673;CP008741.2205585.2207127;CP007619.4433201.4434743;CP007619.2423834.2425376;CP008741.2118731.2120273;CP007619.663681.665223;AB242142.1.1493;AB242143.1.1490;JQ607114.1.1418;JQ607625.1.1415;CP008741.2636685.2638227;JQ607294.1.1425;JQ607243.1.1431;JX006258.1.1422;JQ607429.1.1424;JX006390.1.1422;JX048110.1.1435;JX048138.1.1422;JX006397.1.1422;CP009057.4969468.4971009;JX048287.1.1404;AY126616.1.1493;JQ607431.1.1420;AQHY01000028.339.1856;EU136696.1.1944	65
OTU_97.1011	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:1	BAAV01000571.2640.4130;BAAY01001326.446.1936;BAAY01002722.335.1825;BAAU01000686.2038.3530;CYGL01005916.57.1552;BABG01001611.30.1520;BAAX01000205.681.2171;LQ500117.1.1474;BABD01001073.183.1673;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000131.813.2303;BABA01001556.422.1912;BABG01000051.2348.3838;BAAY01001463.1184.2674;LQ500116.1.1474;X85022.1.1499;BABG01000480.1321.2811;BAAY01000303.996.2486;LQ500123.51.1533;AJ413954.1.1462;LQ500131.1.1474;HQ457025.1.1483;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474	27
OTU_97.1012	AJ308104.1.1370;ABGD02000032.3011.4523;AJ315980.1.1393;ABGD02000021.1868.3380;ABGD02000031.941.2453	70	93:1;70:5;150:1	BAAV01000064.898.2410;ABGD02000031.941.2453;ABGD02000032.3011.4523;ABGD02000021.1868.3380;AJ308104.1.1370;LN866995.1.1482;AJ315980.1.1393	7
OTU_97.10123	GEEG01002153.1.1395;AGZQ01000017.129.1643;AGZP01000036.3707.5225;AGZQ01000033.8984.10498;ABYH01000014.137.1655;FTLH01000001.1658518.1660028;AB261128.1.1492;AJPU01000034.127207.128725;AB238929.1.1492;AB238928.1.1492;AJPU01000037.18517.20035;EU136685.1.2023	29	29:12;28:8	AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238928.1.1492;AB238929.1.1492;EU136685.1.2023;AGZQ01000033.8984.10498;AGZQ01000017.129.1643;FTLH01000001.1658518.1660028;AGZP01000036.3707.5225;ABYH01000014.137.1655;AB261128.1.1492;GEEG01002153.1.1395;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;CP000140.142361.143857;CP000140.4787729.4789225;M86695.1.1539;EU136681.1.1911;AB238923.1.1486	20
OTU_97.10128	AGCK01000014.389.1908;AY730663.1.1465;CP015406.1079531.1081069;AY730662.1.1484;CWHM01000069.3748.5259;LF651527.1.1465;Y18187.1.1550;BABA01006862.484.1995;AWSS01000025.3977.5496;AY724678.1.1465;EU541437.1.1486;EU874848.1.1460;GU968170.1.1471;CXRW01001441.343.1854;JQ608065.1.1421	80	79:1;37:1;151:1;80:4	LT598567.1.1494;ASTC01000037.211.1727;LT598546.1.1487;GU968170.1.1471;AWSS01000025.3977.5496;CXRW01001441.343.1854;CWHM01000069.3748.5259	7
OTU_97.10136	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3;93:1;118:1;119:1;149:1;120:1	BAAX01000205.681.2171;BAAX01000042.422.1912;BAAU01000686.2038.3530;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;BABA01001765.248.1738;LQ500116.1.1474;BABA01001556.422.1912;LQ500131.1.1474;LQ500117.1.1474;X85022.1.1499;BABD01001073.183.1673;BAAX01000131.813.2303;BAAY01002722.335.1825;BAAX01000694.431.1921;AJ413954.1.1462;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;CYGL01005916.57.1552;HQ457025.1.1483;BAAV01000571.2640.4130;BAAY01001463.1184.2674;EU728783.1.1433;JN713314.1.1504;AY169430.1.1474;CBXK010002535.1192.2697;EU728786.1.1477;FAUK01000014.218606.220097;LN846908.1.1491;DQ057482.1.1450;DQ057467.1.1475;DQ057481.1.1439	34
