#partition_num	db_seqs	size_of_partition
10	CP006776.327975.329522;JQ607588.1.1429;JQ607713.1.1421;CP006805.1987688.1989240;DQ272510.1.1553;JVPZ01000003.136016.137544;AEVE01000073.3352.4887;AGZY01000007.257934.259469;AF003933.1.1513;AFUC01000011.91400.92928;AY485605.1.1470;KF733725.1.1472;AB006125.1.1294;ASWZ01000001.1730.3277;AY953255.1.1548;JUTV01000171.196.1724;JVQB01001552.3534.5062;CP006805.1536869.1538421;LAWB01000049.245.1773;AGZY01000011.3714.5249;JVLU01000072.50494.52021;AFUC01000002.3289.4817;AZJD01000007.2387.3922;JYGU01000007.377.1922;DQ232537.1.1469;KX998201.1.1294;LTWX01000107.182.1736;AY005046.1.1469;AGZY01000002.108788.110323;DQ303191.1.1464;HZ486060.1.1500;AEKM01000011.91208.92739;AFUC01000011.194.1722;GU045364.1.1452;HQ219655.1.1402;AB006127.1.1290;AY281078.1.1430	37
11	AF003932.1.1460;AY923121.1.1558;AF432131.1.1524;JYPA01000006.259.1805;ADMV01000001.3349.4885;JYGT01000003.3345.4889;AF432137.1.1523;CP002843.4661.6196;AF432132.1.1524;AF432135.1.1524;AFNN01000003.3298.4831;JYGT01000007.452703.454247;KF733699.1.1479;CP002843.2062079.2063614;DQ232536.1.1469;CP002843.1604681.1606216;HZ486487.3.1531;KF733692.1.1480;LG086394.3.1531;AF481230.1.1504;AY923128.1.1555;KU240441.1.1508;JVKT01000049.199.1727;CP002843.1727460.1728995;JUPI01000152.3359.4886;MUXP01000002.388.1942;AFUT01000009.238395.239926;AY281087.1.1430	28
12	KP090102.1.1458;LJCZ01000024.384.1957;AF257096.1.1518;FN692037.1669931.1671482;FR683088.1.1516;AF257097.1.1518;LJGQ01000111.323.1896;LF134113.3.1546;LJOM01000159.146.1719;KU991819.1.1528;AF243152.1.1509;AF243174.1.1509;AB425941.1.1488;LJDA01000046.428.2001;AXLM01000028.119.1662;LG104491.3.1546;HQ716720.1.1496;AF243158.1.1510;AF243172.1.1509;LSVK01000002.12603.14146;EU559595.1.1562;LF651719.3.1546;AF243141.1.1505;DQ317604.1.1517;EF120374.1.1550;FN692037.445456.447007;FN692037.62524.64075;AGZG01000019.12536.14087;AF243170.1.1508;AB008206.1.1556;LV535632.3.1546;FN692037.427906.429457;AF243167.1.1497;DQ316398.1.1518;LSVK01000003.487.2030;Y17362.1.1559	36
13	JX048564.1.1433;JX048123.1.1424;JQ608058.1.1428;JQ608033.1.1424;M23732.1.1543;JX048399.1.1408;JX006317.1.1432;JX048545.1.1438;JQ608068.1.1417;CP015404.2933182.2934730;JX048169.1.1420;GU968167.1.1508;JX048112.1.1417;JX048199.1.1431;JX048454.1.1411;LG086605.4.1376;JQ608081.1.1424;GU811875.1.1292;LF133663.5.1381;JX048130.1.1436;JX048457.1.1398;JQ608069.1.1436;JX048091.1.1424;JX048099.1.1421;AGYV01000014.29.1556;JX048562.1.1440;JQ608067.1.1437;HZ486698.4.1376;JX048221.1.1444	29
14	L34616.1.1485;AKCD01000001.321917.323435;AB018187.1.1504;CP015404.858184.859732	4
15	AB222700.1.1488;CS600342.5.1468;KX025135.1.1430;X83952.1.1395;KP944115.1.1429;GU968166.1.1492;HZ485100.10.1518;AGXU01000010.481004.482520;EU136682.1.1435;HZ485115.10.1518;KX025134.1.1442;AB222699.1.1485;L16484.1.1468;AB050108.1.1455;AGXW01000010.57027.58543;JQ606876.1.1403;KP944116.1.1434;AY652736.1.1451;JQ606875.1.1425;AGXT01000021.476267.477784;KX025133.1.1417;AGXW01000006.688.2204;AB510705.1.1459;JX006475.1.1409	24
16	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	51
17	CP012937.5517779.5519304;L16489.1.1475;JQ607686.1.1411;AB547640.1.1475;AB510710.1.1461;JQ607066.1.1428;JQ608205.1.1410;AE015928.4983424.4984906;EU136679.1.1995;JQ607067.1.1417;JQ606910.1.1424;LN907744.1.1483;AE015928.2340709.2342191;AGDG01000041.493.2001;KP944119.1.1432;M58763.1.1482;JQ607043.1.1414;AE015928.3034714.3036195;JQ607032.1.1412;AY319395.1.1449;GQ496623.1.1463;KP944123.1.1436;EU887841.1.1494;JQ607093.1.1420;JQ607127.1.1359;JX006297.1.1423;GQ496624.1.1458;JX006625.1.1415;JQ607692.1.1411;JQ607099.1.1411;JQ606939.1.1420;JX048567.1.1424;JQ606892.1.1428;JQ608216.1.1420;JX006697.1.1410;JQ608257.1.1414;AB050109.1.1426;JQ607128.1.1418;JX048503.1.1409;LC033799.1.1504;JQ608100.1.1418;JQ608299.1.1419;CVOZ01000063.228971.230480;JQ606972.1.1418;JQ606983.1.1424;HZ485108.9.1517;CZAE01000003.99809.101321;JQ607143.1.1401;JQ607082.1.1425;JX048256.1.1388;JQ606959.1.1417;JQ607157.1.1414;CZBI01000005.3650.5158;AE015928.3328965.3330446;JQ607034.1.1424;JQ607060.1.1412;JQ606976.1.1418;CXSE01001446.1371.2879;JQ606901.1.1421	59
18	LV534824.10.1516;BABD01000526.1236.2742;AB253732.1.1458;BAJK01000111.3667.5173;ABFZ02000010.54.1555;BABB01000067.5995.7501;LC033792.1.1501;LN907743.1.1476;X83953.1.1342;ABFZ02000011.1.1404;AB253733.1.1458;AB547638.1.1488;LF650911.10.1516;FQWK01000014.251.1781;FNOD01000057.3565.5095;ARFR01000003.2.1263;HZ485141.10.1516;BAAU01001024.317.1823;ABFZ02000022.100210.101724;AB490801.1.1479;LF135337.10.1516;AB510708.1.1476;HZ485083.10.1516;EU136684.1.1926	24
19	JX006288.1.1424;HZ485132.1.1509;BABG01004725.10.1478;ADMP01000058.91.1599;JQ607757.1.1408;JQ607091.1.1413;AGXT01000041.79243.80759;JQ608316.1.1421;JQ607051.1.1422;JQ607540.1.1433;JQ607946.1.1422;AB510713.1.1465;LT622246.247875.249393;KR364742.1.1467;DQ057457.1.1451	15
20	LT722680.1.1429;AB037383.1.1460;AB031061.1.1458;ABXJ01000150.1579.3071;AB558489.1.1466;HZ485413.10.1494;HZ485412.9.1496;ABXH02000033.22176.23668;LT598547.1.1471;AB558488.1.1466;ABXH02000037.458.1953;FWYK01000033.5481.6968;KP233278.1.1431;AB031063.1.1459	14
21	AB038359.1.1315;AB361624.1.1496;EU728726.1.1478;AJ270485.1.1470	4
22	KP944141.1.1428;DQ057442.1.1459;HM007585.1.1335;AB510701.1.1490;DQ057444.1.1460;JQ607750.1.1414;JQ608285.1.1422;FQ312004.4708749.4710281;AP006841.3144323.3145859;CP008741.4730397.4731935;KP188833.1.1378;AP006841.4676388.4677924;EU722742.1.1459;HZ485092.14.1522;CR626927.4658273.4659805;DQ057448.1.1455;CR626927.5128421.5129953;X83935.1.1436;KP944143.1.1441;AP006841.4527043.4528579;CXUA01000435.247.1755;FQ312004.4494006.4495538;CP011073.4581959.4583498;AGXQ01000025.88.1604;DJ391424.1.1491;KP944130.1.1431;DQ057475.1.1459;CR626927.4413866.4415398;AGXQ01000010.543.2059;CP011073.3048810.3050349;AGXQ01000036.155358.156874;CP011073.4368909.4370448;JX006264.1.1422;AF133539.1.1479;LC033793.1.1491;FQ312004.3243020.3244552;AGXR01000010.53918.55434;CR626927.4600342.4601874;JPHS01000172.225.1764;CP011073.4641052.4642591;FQ312004.5291501.5293033;AP006841.4735744.4737280;AP006841.5195504.5197040;KT006898.1.1465;CP011073.5118647.5120186;EU136678.1.2011;FQ312004.3903056.3904588;AB542764.1.1490;CDQP01001253.198.1702;CR626927.3205531.3207063;KP944129.1.1399;LIDU01000040.1773.3294;AB050106.1.1404;CR626927.3854670.3856202;KP944131.1.1433;AP006841.3947850.3949386;KP944125.1.1437;DQ057447.1.1455;KP944142.1.1435;JMZZ02000202.12.1551;KP944126.1.1427;HZ485111.10.1518;KP944133.1.1437;FQ312004.4649498.4651030;KP944135.1.1430;KP944137.1.1430;DQ057445.1.1465;JQ607793.1.1408;CP011073.3796953.3798492;BAAY01002565.3.1472;GU968174.1.1492;JGEE01000017.1.1346	72
23	ABVO01000045.3575.5089;EU136695.1.1991;AKBX01000002.630005.631511;L16485.1.1473;AB050107.1.1425;AB510700.1.1488;AKBX01000006.261100.262606	7
24	AQHY01000028.339.1856;AB510703.1.1478;EU136696.1.1944;AY126616.1.1493;HZ485137.1.1350	5
25	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	43
26	AB242142.1.1493;JN084209.1.1374;CP008741.2118731.2120273;CP009057.2296841.2298384;CP007619.2423834.2425376;CP009057.4969468.4971009;BAAX01000183.1.1374;CP007619.3821131.3822673;CP007619.663681.665223;BABD01000854.1516.2844;CP007619.4541152.4542694;CP008741.698758.700300;JQ607431.1.1420;CP007619.4881337.4882879;CP007619.4433201.4434743;AB242143.1.1490;ABWZ01000093.3557.5076;CP008741.391903.393445;CP008741.4470567.4472116;JX006402.1.1315;CP007619.2713921.2715463;CP008741.2205585.2207127;CP008741.2636685.2638227	23
27	AJWZ01002193.94.1618;EU728752.1.1491;ACBX02000025.1.1217;AB064923.1.1494;AB244772.1.1493;EU728740.1.1484;AB649279.1.1493;CBXK010002068.363.1874;LT722678.1.1454;AB244771.1.1493;AB244770.1.1491;ACBX02000017.22857.24376;AB244773.1.1493;ACBX02000014.1230.2749;EU728712.1.1486;EU728757.1.1485	16
28	JQ607568.1.1411;AB117561.1.1493;AB238924.1.1486;CP000140.3253636.3255132;JNHQ01000190.1.1357;ACUB01000068.1.1400;AB238927.1.1486;AB238925.1.1486;CP000140.2872534.2874028;LC033797.1.1486;AB238926.1.1486;EU136681.1.1911;LARL01000150.1.1396;JQ606916.1.1417;JNHQ01000184.8.1440;CDRH01001199.128.1633;BABA01001649.892.2396;AB238923.1.1486;KP944197.1.1431;JQ607238.1.1426;JQ607108.1.1412;EU728708.1.1478;CP000140.3411907.3413403;JQ606931.1.1418;AB238922.1.1488;JQ607084.1.1412;M86695.1.1539;CP000140.2138973.2140467;KR364782.1.1484;CZAR01000037.27480.28953;CP000140.142361.143857;BAAZ01000703.1371.2875;CP000140.416000.417494;CP000140.4787729.4789225	34
29	GEEG01002153.1.1395;AGZQ01000017.129.1643;AGZP01000036.3707.5225;AGZQ01000033.8984.10498;ABYH01000014.137.1655;FTLH01000001.1658518.1660028;AB261128.1.1492;AJPU01000034.127207.128725;AB238929.1.1492;AB238928.1.1492;AJPU01000037.18517.20035;EU136685.1.2023	12
30	AB200218.1.1492;AB200221.1.1493;ABQC02000019.758957.760260;AB200219.1.1490;AB200217.1.1490	5
31	AB861981.1.1489;AB861983.1.1489;AY721625.1.1490	3
32	ABIY02000097.119651.121166;ABIY02000114.1.1263;ABIY02000050.88545.90060;ABIY02000115.212058.213573;EU136688.1.1503;AB200224.1.1490	6
33	ALIF01000001.367822.369369;CP020438.560570.562124;EU373350.1.1513;FR873481.349447.350982;CP016394.685860.687395;KF856613.1.1490;HE793101.1.1491;JQ680316.1.1395;FJ154797.1.1435;FJ154803.1.1479;CP002888.1788063.1789598;KC545932.1.1472;ALIF01000001.147716.149263;HM058719.1.1465;FJ154800.1.1470;AY687382.1.1506;CP020431.1894642.1896196;HZ486496.7.1534;CP000419.359459.361001;AY188352.1.1546;AB680534.1.1414;CP002340.72623.74177;CP016877.604615.606169;HQ721278.1.1480;CP016439.1090046.1091600;AB530698.1.1509;CP006819.1838763.1840309;CP012588.1679919.1681473;CP009913.188718.190272;CP000024.1614468.1616015;CP000419.19150.20692;CP020438.891981.893535;HG423864.1.1462;HM058483.1.1467;CP002888.2007769.2009304;CP003499.1653729.1655264;CP013216.1906193.1907753;JJMS01000004.3355.4906;CP002340.17812.19366;CP003499.128911.130446;KU533907.1.1374;FR875178.17733.19268;JQ680277.1.1402;FJ154802.1.1470;CP011217.19293.20835;CP002340.134319.135873;CP016394.473559.475094;FR873482.125158.126693;FR873481.133039.134574;CP006819.531047.532593;FR875178.65514.67049;AEKO01000006.2733.4272;KC545917.1.1480;LC061611.1.1516;FR873481.138841.140376;FR873481.2019079.2020614;CP002340.1643295.1644848;FR875178.161406.162941;LTUM01000005.128.1562;KF928788.1.1512;AB680535.1.1473;CP002888.2075799.2077334;KC545903.1.1480;FR875178.379758.381293;FR873482.14961.16496;CP000023.17818.19365;AB200871.1.1509;CP003499.17821.19356;HM058655.1.1465;ALIF01000001.64012.65559;HM058764.1.1466;JJMT01000020.3355.4906;CP000023.134850.136397;CP000024.134877.136424;KC545926.1.1473;KC429781.1.1381;HM218357.1.1427;KC545929.1.1480;KC545883.1.1481;CP000419.66812.68354;AEVI01000085.3378.4913;GU175444.1.1493;CP002888.2124185.2125720;HQ721259.1.1484;CP010999.65434.66969;CP016394.749178.750713;JN561296.1.1391;HQ721249.1.1483;AF432136.1.1523;CP000024.129070.130617;HQ721248.1.1485;HQ721261.1.1474;HQ662528.1.1469;FJ154801.1.1470;M58839.1.1552;CP020451.1216394.1217948;CP000023.358373.359920;CP020438.675337.676891;KT021870.1.1497;HQ721263.1.1476;JQ680313.1.1396;EU694138.1.1460;KC545922.1.1482;CP000023.129043.130590;KU324908.1.1207;CP011217.147027.148569;KC545904.1.1490;CP013216.1911996.1913556;KF286609.1.1482;CP000419.146827.148369;KY003111.1.1207;CP002340.351170.352723;HQ721251.1.1477;LXIN01000147.2.1346;CP000023.1612153.1613700;CP000024.352152.353699;CP015282.1706206.1707760;EU660206.1.1531;CP006819.318753.320299;ALIF01000001.141909.143456;LC061147.1.1421;KC545918.1.1454;CP009913.63397.64951;CP020431.1848430.1849984;FR875178.167212.168747;FR875178.1731239.1732774;KM257682.1.1473;AEKO01000004.2732.4270;CP011217.1672807.1674349;CP011217.67012.68554;AYSG01000002.292.2076;CP000024.17814.19361;JQ680301.1.1399;CP003499.65558.67093;CP011217.359719.361261;AY687383.1.1512;CP012588.1727655.1729209;CP010999.17773.19308;CP000024.65582.67129;HM058318.1.1462;LC061614.1.1517;HM058506.1.1466;KC545934.1.1508;FR873482.66026.67561;ALIF01000006.436078.437605;JQ680297.1.1395;CP020438.609404.610958;CP011217.141221.142763;HM058255.1.1464;AY188354.1.1539;ALIF01000001.14963.16504;CP000023.66799.68346;CP014144.2136694.2138248;CP010999.1648515.1650050;FR873482.130961.132496;HM058475.1.1465;CP002888.2013573.2015109;ALIF01000006.631019.632560;DQ911624.1.1513;CP009913.14954.16508;LM611903.1.1457;CP006819.255435.256981;HQ662529.1.1458;CP002888.190090.191625;BCMY01000192.1.1528;FR873482.338038.339573;CP000419.1665743.1667285;AY188353.1.1538;KC545882.1.1494;KU324914.1.1231;CP000419.141021.142563;CP003499.346151.347686;CP016439.842698.844252;CP006819.207775.209321;CP020431.2168479.2170033;KC545919.1.1482;X68418.1.1542;FR873481.68484.70019;FR873482.2011806.2013341;FR873481.14959.16494;HG423865.1.1462;JX006780.1.1369	182
34	ABJL02000007.1225076.1226586;ABJL02000006.58.1568;LTDF01000031.344.1854;ABJL02000008.3336138.3337648;CP012801.2258604.2260119;AB214329.1.1484;BABG01002699.21.1524;AJ583246.1.1439;LT223636.1.1486;AJ583248.1.1428;ABJL02000008.1460783.1462293;EU136691.1.1995;CP012801.1646789.1648308;AB510698.1.1473;AB214328.1.1484;ACCH01000108.3638.5148;AJ583247.1.1437	17
35	JX006353.1.1419;JX006301.1.1414;AB574479.1.1484;JX006266.1.1407;JX006298.1.1409;AB490803.1.1476;ADLF01000024.399775.401286;AJ583245.1.1410;LF650927.1.1485;JX006294.1.1418;FQZN01000072.3615.5141;BAKL01000173.25.1526;AB547644.1.1485;AJ583243.1.1426;JX006268.1.1412;AB574481.1.1484	16
36	JQ607235.1.1410;AY895180.1.1374;LF135391.1.1361;JX006286.1.1415;JQ607831.1.1423;JX006296.1.1414;JQ608199.1.1408;JQ607229.1.1412;LV534878.1.1361;JQ608224.1.1419;HZ485138.1.1361;JQ607823.1.1426	12
37	AB238598.1.1453;AP012044.1260691.1262224;LF134422.9.1518;AP012044.1864519.1866052;LG104800.9.1518;ASTC01000037.211.1727;LF652028.9.1518;AP012044.420887.422420;HZ486081.9.1518	9
38	AB547651.1.1480;AB331896.1.1483	2
39	AFBP01000029.162.1691;AB370250.1.1494	2
40	AB547647.1.1481;AB370251.1.1484;ADLE01000017.1593.3112	3
